video,turn_index,start,end,topic
TV-20230126-2020-2700.webl.h264,33,837.839,881.636,1
TV-20230126-2020-2700.webl.h264,34,884.207,900.245,2
TV-20220405-2022-4600.webl.h264,1,15.729,52.754000000000005,0
TV-20220405-2022-4600.webl.h264,2,54.264,162.78,0
TV-20220405-2022-4600.webl.h264,4,176.329,225.649,0
TV-20220405-2022-4600.webl.h264,5,225.699,261.164,145
TV-20220405-2022-4600.webl.h264,6,262.842,322.035,60
TV-20220405-2022-4600.webl.h264,8,339.728,357.495,145
TV-20220405-2022-4600.webl.h264,9,359.372,387.588,51
TV-20220405-2022-4600.webl.h264,10,389.406,405.669,44
TV-20220405-2022-4600.webl.h264,11,405.719,422.861,-1
TV-20220405-2022-4600.webl.h264,12,424.032,486.331,-1
TV-20220405-2022-4600.webl.h264,13,488.567,590.991,-1
TV-20220405-2022-4600.webl.h264,15,600.506,615.219,3
TV-20220405-2022-4600.webl.h264,16,616.008,638.131,3
TV-20220405-2022-4600.webl.h264,17,638.681,653.509,3
TV-20220405-2022-4600.webl.h264,18,653.559,669.922,3
TV-20220405-2022-4600.webl.h264,21,694.754,722.563,3
TV-20220405-2022-4600.webl.h264,22,724.022,738.421,3
TV-20220405-2022-4600.webl.h264,23,738.491,756.414,3
TV-20220405-2022-4600.webl.h264,24,756.464,793.104,3
TV-20220405-2022-4600.webl.h264,25,793.773,806.487,70
TV-20220405-2022-4600.webl.h264,27,816.23,840.535,89
TV-20220405-2022-4600.webl.h264,28,842.399,864.1080000000001,153
TV-20220405-2022-4600.webl.h264,29,864.838,878.635,153
TV-20220405-2022-4600.webl.h264,30,878.665,894.963,153
TV-20220405-2022-4600.webl.h264,31,895.749,908.233,153
TV-20220405-2022-4600.webl.h264,36,948.26,996.36,1
TV-20220405-2022-4600.webl.h264,37,999.292,1017.893,2
TV-20230214-2104-4200.webl.h264,1,18.618,48.118,100
TV-20230214-2104-4200.webl.h264,2,48.168,86.434,-1
TV-20230214-2104-4200.webl.h264,4,97.247,106.05999999999999,34
TV-20230214-2104-4200.webl.h264,6,114.746,155.35000000000002,-1
TV-20230214-2104-4200.webl.h264,7,156.721,191.738,19
TV-20230214-2104-4200.webl.h264,8,191.788,295.009,19
TV-20230214-2104-4200.webl.h264,9,296.918,329.611,19
TV-20230214-2104-4200.webl.h264,10,329.641,344.277,0
