Paul von Lettow-Vorbeck	Q57203
Carl Peter Thunberg	Q39658
Muhammad Ali	Q36107
Andrés Manuel López Obrador	Q318508
Heinz-Christian Strache	Q44733
Walter Gorn	Q1480382
Gustav Heinemann	Q2573
Florian Philippot	Q3074223
Susanne Daubner	Q1472644
Matthias, Holy Roman Emperor	Q152157
Matthias Corvinus	Q188634
Pope Benedict XVI	Q2494
Pope Benedict XIV	Q126711
Rosi Mittermaier	Q61624
Michael Mittermeier	Q45083
Adnan Pachachi	Q359766
Hun Sen	Q57788
Frank Sinatra	Q40912
Alexander Schmid	Q23639418
Dominik Raschner	Q59361693
Ingo Zamperoni	Q109627
Nikolay Zelinsky	Q435709
Narendra Modi	Q1058
Mahatma Gandhi	Q1001
Abdulsalami Abubakar	Q262346
Steven Spielberg	Q8877
Thea Mørk	Q9358340
Christian Petzold (director)	Q67268
Julian Brandt	Q3189078
Marco Reus	Q152377
Oliver Baumann	Q129116
Edin Terzić	Q61709977
Raphaël Guerreiro	Q4241680
Christoph Baumgartner	Q55999670
Timo Werner	Q3529022
Tuta (footballer, born 1999)	Q61680332
Emil Forsberg	Q5371234
Wolfgang Trapp	Q1546387
Christiane Sadlo	Q108654
Marco Rose	Q542990
Luisa Görlich	Q23059485
Selina Freitag	Q58042513
Anna Rupprecht	Q96808
Katharina Althaus	Q87758
Paul Althaus	Q78461
Andreas Wellinger	Q127538
Karl Geiger	Q127325
Aline Pellegrino	Q4726768
Tina Hassel	Q2435478
Nazi salute	Q153271
Anni-Frid Lyngstad	Q201908
Benjamin Netanyahu	Q43723
Bianca Heinicke	Q18410747
Ezequiel (footballer, born 1998)	Q55364056
Dries Mertens	Q11954
Sara Goller	Q4581
Mevlüt Çavuşoğlu	Q249206
Gustav Rau (athlete)	Q3779903
Johannes Rau	Q2551
Thorsten Schröder	Q2429257
Jerk (physics)	Q497332
Praskov′ja Georgievna Parchomenko	Q3909906
Amaury Vassili	Q259645
San people	Q172365
Cem Özdemir	Q12839
Louis-Ferdinand Céline	Q151820
Karen people	Q271790
Chris Lowe	Q433587
Eugen Geiwitz	Q945360
René Benko	Q90042
Eric Adams	Q5385992
Desmond Tutu	Q43033
Cyril Ramaphosa	Q1148669
Tutu (clothing)	Q1359804
Thomas Nuttall	Q728337
Naomi Osaka	Q17466583
Betty White	Q373895
Ryoyu Kobayashi	Q22252582
Markus Eisenbichler	Q126987
Wilhelm Kosch	Q2573729
Antonio Banderas	Q41548
Róbert Demjan	Q7386474
Milan Ivana	Q1364947
Volker Bouffier	Q69341
Xi Jinping	Q15031
Andrea Nahles	Q62810
Paul-Werner Scheele	Q91784
Boris Johnson	Q180589
Lyndon B. Johnson	Q9640
Kyriakos Mitsotakis	Q552751
Patrick Zieker	Q14902856
Max Weber	Q9387
Tobias Reichmann	Q2437974
Kurt Rebmann	Q107235
Zika virus	Q202864
Karl Ernst Osthaus	Q74432
Matsukata Masayoshi	Q714039
Vincent van Gogh	Q5582
Paul Cézanne	Q35548
Pierre-Auguste Renoir	Q39931
Paul Gauguin	Q37693
Mike Fuhrig	Q1933150
Waldemar Anton	Q23559699
Konstantinos Mavropanos	Q47015833
Michael Gregoritsch	Q699094
Florian Wirtz	Q94699949
André Hahn	Q519440
Dieter Althaus	Q61409
Claudia Pechstein	Q57415
Eric Frenzel	Q700807
Albert Füracker	Q103964
Judith Rakers	Q62867
Manuela Schwesig	Q72845
John Sherman	Q445392
Kristen Stewart	Q126599
Hans Christian Andersen	Q5673
Ole Werner	Q27050003
Jiří Pavlenka	Q15124046
Bruno Labbadia	Q57548
Niclas Füllkrug	Q326159
Stay (Rihanna song)	Q248210
Marvin Bakalorz	Q822751
Thomas Bach	Q72245
Jens Riewa	Q111143
Josep Borrell	Q312901
Ute people	Q1253290
Li Keqiang	Q18111
Niklas Süle	Q13365847
Kerem Demirbay	Q822762
Adli (disambiguation)	Q4683313
Christian Streich	Q129121
Niels Schlotterbeck	Q1989024
Lukas Kübler	Q4419904
Maya the Bee	Q752027
Grigory Orlov	Q540752
Saint Florian	Q298845
Leonie Walter	Q91412625
Richard Wagner	Q1511
Alberto Fujimori	Q133040
extinct species	Q237350
Dirección de Inteligencia Nacional	Q545054
Rudi Völler	Q44464
Oliver Bierhoff	Q152844
David Crosby	Q370560
Bing Crosby	Q72984
Jonny Hey	Q1703450
Courtney Hodges	Q44400
Jean-Yves Le Drian	Q559040
Milena Jesenská	Q234893
