Inside (video game)	Q22019785
ZDFmediathek	Q136006
IBSF World Championships 2016	Q19275551
Visions	Q900956
Classical music	Q9730
Missionszentrale der Franziskaner	Q1939131
Evin Prison	Q387503
ambassador of the United States of America	Q15726790
Industry	Q8148
Rheinische Post	Q33094
Episcopal conference	Q637017
Landtag of Rhineland-Palatinate	Q314690
Federal Office for Migration and Refugees	Q1005470
leopard	Q34706
Verband der Automobilindustrie	Q563359
Franz Liszt	Q41309
Die Welt	Q29872
Golden Globe Awards	Q1011547
Oberheim Electronics	Q2009864
Ministry of Emergency Situations (Russia)	Q2624171
World Food Programme	Q204344
Realo	Q49344167
